id,video,transcription
1,https://www.instagram.com/reel/DM2DYuURXAS/?igsh=Z3lzNDZtdDhxeWxn,"kali ini di sebelah saya sudah ada bike B440 yang akan kita gunakan untuk road party jadi dari depan kalau kita lihat, bembernya sudah berubah total karena dia menggunakan bember dari forest dimana katanya untuk bike B440 ini adalah yang pertama di Indonesia dia ini fabricasi jadi bukan kasteman kalau kita memang rapi sekali dan segera di kasi kaya spesia kalau misalkan antik, kena sesuatu, benturan dia ga langsung kenal ke grill atok ke kaca depannya di lampunya sedangkan disini ada sedikit tong olan karena disini buat di taruh lampu ah, di lampu di dalam sini sama lampu foglem tapi inget lampu lampu kayak gini cuma dipake pas offroad aja mengausa dipake di dalam kotak"
2,https://www.instagram.com/reel/DMpUrCKxQj5/?igsh=bGh5bTBia2xmZXU4,"Degias ada Honda Civic ya sudah di modifikasi puluk carbon. Jadi, masjipun, ya kelihatan carbon yang cuma di kesempatan, terus dipintu, ya. Tapi sebenarnya dari bagian sini, sampai sini, sampai flornya, itu udah dijadikan carbon semua. Gak cuma itu, masjipnya, ini langsung dari Jun Japan. Nah, kalian bisa membeli ini ada dimbutnya BRQ. Dan pertanyaannya, BRQ itu apa sih? BRQ itu adalah fuel katalis. Ya, dimana bisa bekerja di mobil bensin atau di mobil diesel? Nah, fungsinya, dia itu memperbaiki koltas bahan bakar, dan dia bisa memperpanya usia bahan bakar biar nggak cepet nasi. Kalau cok buat, ya kalau yang punya mobil hobi, jalan di pake, ya, BRQ terbagus, oke, BRQ. Gua dungbutkan di semua mobil gue yang bensin, mau pun diesel, itu semua pakai BRQ. Dimana, karena fuel yang makin bagus karena pakai BRQ lebih irit, lebih bertenaga, dan selaja emisnya juga lebih rendah. Dan disini, promo nya gede banget. Neliatnya, ada harga normal, dan ada harga gias. Nah, yang paling asik kalau menurut gue, ada promo max light, ya. Dari 3,9, jadi 2,8, di taruhnya aja. Makanya, buruh langsung gini ya sekarang buat dapetin promo nya. Dan buat teman-teman nyapaknya dapetin promo nya, tapi ga ke gias, bisa langsung di Instagramnya BRQ aja. Karena promo sehingga, cuma berlaku sepanjang gias berlaksung. Nah, buat teman-teman langsung datang, langsung aja ke butnya BRQ yang ada di hot 17C-C-16. Hasung dasas ini, yuk."
3,https://www.instagram.com/reel/DKoahGuRUGB/?igsh=a3plZWs0cWx0ZWRz,"Jadi kita udah nyampai di nama tempat itu 2 musak dan kita mampir solat di sebuah mesjid yang mirip banget kayak masjidil harom ya bakal di dalam kita bisa tauwaw karena ada kabar buat manasik haji btw ngomongnya lagioverland, kita tuh lagioverland ini tuh perlengkapan tuh harus pada benda-benda siap kita kan misalkan kita tambahkan di depan, kita ada senleder, ada cangku kalau misalkan mau bergutanya kotos semacamnya dan ngomong-omong suar keamanan gitu ya, gak cuma buat kambil doang, tanya buat orangnya juga nah kita selalu dia entrostop untuk emergian sih kalau ada kejutan biare dan yang hebat dari entrostop ini dia bisa entop biare karena serat racun dan bakteri nah dikuarin semuanya baru di stop biare nya biar-biare nya beneran stop jadi kita gak perlu kawatir, kalau misalkan kita salah makan atau mungkin makan makanan yang gak cocok sama perut kita, karena nama juga di luar negri ya jadi teman-teman ada pergi selalu bahwa entrostop"
4,https://www.instagram.com/reel/DKZVA8DJq89/?igsh=YXUwbHBnOG5udTJt,"ini ada tempat yang bisa membuka kasar nama kak kasar nama nih ini pemerintah yang lain ke mana lah ini dia apa tempatnya apa? oh super spring balik papa super spring balik papa orang ini nama yang mendukung selama perjalanan kita oh i yang memudakan istri kita mereka bisa kita lagi dari mana nah ini dia kantornya ssj balik papa super spring gps id ini ini turun-turun kanih yang kita bakal kaya ini x40 dia ga cemaskan gps lakuin tapi jadi gps gps gmnya sama drone monitorin dia bisa kecek kalau nonton dia ingin timur itu main hape, meleng api-api bisa portable juga ada dan ini punya magnet buat banget buat kalian pertama gua juga ada jari segum bener buat showroom nah penting banget showroom mobil itu pasang gps begini jadi kalau misalkan nanti mobil dilakukan ga dicaput tapi gimana timat banget? dimana timat banget di mobil ya jadi kalau dia dilepas sensoreng nanti ada cahaya di sini oh langsung girmsinya girmsinya kasih tau warning oh iya dilepas nih gpsnya ada nyat buruk nih kalau penasaran langsung aja cek website dan aplikasinya gps.id nanti kalian bisa ada demo-nya tuh gimana sih rasanya dia ada maka pakai tracker demobil kita aham dengila sampai ini jadi teman minis 360 Pak 360 360 terima kasih jadi gua teman-teman ini terima kasih telah ngikutin video ini sampai akhir sampai jumpa di next destination apa apa kita klik asen waaaah"
5,https://www.instagram.com/reel/DLtizEnyaOn/?igsh=MTIwMmlmZXRyMHl6eg%3D%3D,"Unboxing Gif Box HP 3 juta yang banyak gaya, kotaknya aja nantang gini. Didalamnya ada 3 HP sekali-gus, 2 box Technopova 7 yang kemarin udah kita bas di YouTube dan karakter utama ini. Technopova 7 5G, katanya sih, next level stylish. Dari kotaknya emang udah beda dari pova biasanya, kerasa lebih simpel futuristik. Ada bonus power bang juga yang support while charging. Wow, saya suka nih. Hapinya nggak cuma menang gaya, tapi fiturnya juga keciperatan rasa canggi. Lanjut di dalam kotaknya yang ada casing magnetic, charger 45W dan cable type A2 Type C. Dalam gif box sedek ini juga ada kartu magnetic ya, Aksesoris biar hapinya kerasa lebih rami. Buat design polosan Technopova 7 5G-nya sendiri, kayak gini ya, temanya pesawat luar angkasa, interstellar spesib. Diskitar frame kameranya ada beberapa LED strip yang bisa kita kastem fungsinya. Kayak, timer, terus. Statusnya chas, status volume, dan lain lain. Gaya bener. Bagaimana lain yang langsung saya sadarin dari pova 7 5G ini? Rasio layarnya lebih panjang dari HP standard. Dia di 20 tengah banding sembilan. Bikin bodinya berasa jadi tinggi langsing ya, genggamnya jadi mantap. Buat spesinya sendiri, dia pakai dimensi di 7305G, RAM 8GB storage 128 atau 256GB UFS 2.0, jadi buat gaming udah enak kayak HP-ap 3 juta lain. Termasuk, game yang grafiknya berat dan ramai, kayak crystal of atlan. Ini game yang colap sama pova 7 series ya, kalau mau cobain atau malah udah main, ada kode khusus ini yang bisa diritim buat dapetin bonus, lumayan. Pova 7 5G juga ada game assistant yang punya banyak fitur ya, dari Magic Voice sampai bypass charging. Oh ya, kapasitas baterainya 6,000 mAh ya, support charging cable sampai 45W dan wireless charging, aptu 30W. Tekno pova 7 5G punya layer 6,780 inch 144Hz Full HD Plus. Kamera utamnya 128MP yang bagus ya, jepretannya bisa underliat sendiri. HP-3 juta makin liar, dah. Kayak Tekno pova 7 5G ini. Gak cuma ngasih spek dan fitur yang cakap, tapi udah berani main-main di bagian design juga. Buat detail harga dan perungunya bisa langsung cek ke sosmed atau toko resmi Tekno Indonesia."
6,https://www.instagram.com/reel/DJlxfv8yoVX/?igsh=OWg2OTczd2M1cTNm,"Halo guys, David Sini dan hari ini kita bakal test kekuatan V4 V50 Lite. Sorry, sorry, kejauhan, ternyataan. Aman, bro. Aman, aman. Wow, ada ridle disini. Kebetulan bisa bantuin saya buat nge-test kekuatan V50 Lite. Guys, kan! Let's go! Diskelimmer dulu. Kita disini buat nge-test saja. Saya sebagai reviewer bukan buat di diru di rumah. Buat juga ya, walaupun udah bicah giling di teng-ten-ten-ten, sampai kayak lagi berarti V4 V50 Lite ini, terlalu banyak terima kasih. Terima kasih, Rido. Budah bantuin nge-test seberapa kuat V4 V50 Lite. Jangan dukung! Wajah aja!"
7,https://www.instagram.com/reel/DEl-hhEyCX4/,"Moldapat Wuling Bingo EV dari kerasi anda ha! Kamu jelaskan dulu Wuling Bingo EV ini merupakan mobil yang keren! Iconik karena klasinya bentuknya dan interiornya dalamnya pun spesius. Di mana caranya dapat ini? Selain ini ada juga di MacBook Pro M3 dan iPad Pro M3. Dengan cara ikuti kompetisi ilutrasi York Art Your Icon, ini merupakan kerja sama antara Wuling Motors dan G-Cuff. Jadi kami bisa berkerasi pada mobil kami, anda juga bisa berkerasi pada Wuling Bingo EV melalui ilustrasi. Hah, gimana cara ikutannya anda bisa buka Instagramnya Wuling Motors ID dan G-Cuff. Ayo ikut kompetisi ini, ha! Tapan lagi bisa dapat Wuling Bingo EV ini. Bukan ini ini yang baru. Your Art Your Icon."
8,https://www.instagram.com/reel/DMZ0V5Fpi1j/,"Wah, akhirnya aletra kabisam! Pai! Gih! Kita turunin. Mana, Kin? Nurun ini gampang sekali karena ada ke-162. Ini kuncinya, oh! Ah, oh! Gede banget kuncinya ga mau atas di kantong! Ha, ha, ha, ha! Mengsekali, dapat apa aja nih, aletra kita? Untuk aletra kita udah dapat portable charger-nya. Dapat carpet juga, apa mobil, dapat? Wish, kapromobil. Semuanya kata film, kami rikuesti dari pasangin karena kami mempasang sendiri. Kalau anda pesong, anda pasti dapat. Nah, ini kan agak terlambat nih. Hmm, ada kompensasinya. Jadi, kunceng untuk yang soflan dari pembele soflancing, sampai ke promogias itu dapat deskam. Oh! Iya yang soflancing, kami kan beli pas soflancing. Nah, ini agak sedikit terlambat, tapi dapat deskam lumayan. Ini kelangkapannya, kita dapat carpet, dapat portable charger, dapat sarung mobil, dan dapat deskam. Hehehe, ga sabar mengajak keluarga jalan-jalan lagi nih."
9,https://www.instagram.com/reel/DKyVUNlpBv-/,"hari ini ada jadwal apa ya? kosol main sih? tempat tempat keberian lanegi dunal berantung aduh, kapain sih dengerin orang omong orang berantem, kayak giba tuh gak? nah ke dengeran pak ini ke dengeran maksud orangnya ini harus diperbaiki mobil ini harus dipasangin perdam, perdamian terbaik perdam apa? noise kill, semuanya keling yang sampai dalam peplafonnya juga nih kalau di plafon nih ngurangi panas juga ngurangi panas, belakangnya bisa ngurangi nasi ngurangi nasi belakang lebih hampir mencari nah terus, gak? bisa ngajar harga juga oh ya, karena kalau udah pasang funo noise kill udah peserdifikat peserdifikat, bisa tijukin ya, bisa diikadnya pasangnya di auto rest di bilernya nih contohnya, kita ke bagja pasang nice kill ini full, bergiba sudah terpasang sekarang kisah kita pasang funo contohnya, sampai langkah mobil lebih kedap omg, bisa nguping lagi lebih adem dari senar mata hari dan yang penting masangnya di auto rest di bilernya noise kill, karena semua yang masang di hitul sudah terpersertifikasi dari noise kill tinggal ada peserdifikat dan bisa meningkatkan harga jual mobil lain nah, kita keadaplangi mobil saya kecil-kecil saya kecil-kecil"
10,https://www.instagram.com/reel/DJ_31q2pmIB/,"Ini mobil memang memakasak, kembali saya enak kalau tidak akan kota, emak sekali, enak destir, dan fitur setinya, oh, pretah! Kak kita kerasa aman di jalan. Crossover compact macam ini sudah komplete dengan adaptive cruise control. Bikin pengen pakai jalan jauh. Tentu juga ada lane keeping assist-nya untuk penghindar bala, termasuk lane departure warning dan lane departure prevention. Rain Cross traffic alert juga ada, memudahkan dan membuat keluar parkiran jadi aman. Ada pula blind spot monitoring. Jadi mobilnya bisa melihat titik buta kita. Vehicle sway warning juga ada. Kemudian ada high beam assist juga. Ini kami suka sekali karena sangat membantu di malam hari tanpa menilaukan orang lain. Dan yang paling penting ada dual break support. Yang membantu pengen mudi untuk menghindari tabrakan dan juga mengurangi kerusakan apa bisa terjadi kecelakaan. Yang tentu sudah disesuaikan dengan kondisi ralu dintas Indonesia. Gimana susu game prok ini komplikat jaman, kiri dan yang marbualnya adalah ini mobil aman."
